GNPSLinkout_Cluster,GNPSLinkout_Network,LibraryID,MQScore,RTConsensus,RTMean,RTStdErr,SpectrumID,SumPeakIntensity,UniqueFileSourcesCount,cluster index,componentindex,number of spectra,parent mass,precursor charge,precursor mass,sum(precursor intensity),INCHI
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""80965"",""main.cluster index_upperinput"":""80965""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=141&task=818684bc2ef44996a6257df861bb9695&show=true,Uridine,0.976549,3.6016,3.6016,0,CCMSLIB00003195780,596.9672374,163,80965,141,163,245.0883,1,245.0883,596.9672374,"InChI=1S/C9H12N2O6/c12-3-4-6(14)7(15)8(17-4)11-2-1-5(13)10-9(11)16/h1-2,4,6-8,12,14-15H,3H2,(H,10,13,16)/t4-,6-,7-,8-/m1/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""18737"",""main.cluster index_upperinput"":""18737""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=639&task=818684bc2ef44996a6257df861bb9695&show=true,Spectral Match to Tributyl phosphate from NIST14,0.97605,0.9198,0.9198,0,CCMSLIB00003137353,15707.50096,172,18737,639,172,267.172,1,267.172,15707.50096,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""993"",""main.cluster index_upperinput"":""993""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=388&task=818684bc2ef44996a6257df861bb9695&show=true,Spectral Match to Dioctyl phthalate from NIST14,0.975511,7.8744,7.8744,0,CCMSLIB00003136205,1591.877073,172,993,388,172,391.2851,1,391.2851,1591.877073,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""27342"",""main.cluster index_upperinput"":""27342""}",This Node is a Singleton,D-Desthiobiotin,0.975492,4.6167,4.6167,0,CCMSLIB00003654192,5356.95821,172,27342,-1,172,197.1286,1,197.1286,5356.95821,"InChI=1S/C10H18N2O3/c1-7-8(12-10(15)11-7)5-3-2-4-6-9(13)14/h7-8H,2-6H2,1H3,(H,13,14)(H2,11,12,15)/t7-,8+/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""574"",""main.cluster index_upperinput"":""574""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=133&task=818684bc2ef44996a6257df861bb9695&show=true,N-.alpha.-Acetyl-L-arginine,0.974504,10.7893,10.7893,0,CCMSLIB00003201654,19132.75832,172,574,133,172,217.1297,1,217.1297,19132.75832,"InChI=1S/C8H16N4O3/c1-5(13)12-6(7(14)15)3-2-4-11-8(9)10/h6H,2-4H2,1H3,(H,12,13)(H,14,15)(H4,9,10,11)/t6-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""30283"",""main.cluster index_upperinput"":""30283""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=446&task=818684bc2ef44996a6257df861bb9695&show=true,NALPHA-ACETYL-L-LYSINE,0.974422,11.8163,11.8163,0,CCMSLIB00000577986,9740.476324,172,30283,446,172,189.1235,1,189.1235,9740.476324,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""17604"",""main.cluster index_upperinput"":""17604""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=412&task=818684bc2ef44996a6257df861bb9695&show=true,Pantothenic acid,0.974164,7.0863,7.0863,0,CCMSLIB00000479726,6309.640373,172,17604,412,172,220.1181,1,220.1181,6309.640373,"InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)/t7-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""6686"",""main.cluster index_upperinput"":""6686""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=141&task=818684bc2ef44996a6257df861bb9695&show=true,Tyr-Ile,0.973808,6.0862,6.0862,0,CCMSLIB00003737828,2285.806029,172,6686,141,172,295.1657,1,295.1657,2285.806029,"InChI=1S/C15H22N2O4/c1-3-9(2)13(15(20)21)17-14(19)12(16)8-10-4-6-11(18)7-5-10/h4-7,9,12-13,18H,3,8,16H2,1-2H3,(H,17,19)(H,20,21)/t9-,12-,13-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""31504"",""main.cluster index_upperinput"":""31504""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1528&task=818684bc2ef44996a6257df861bb9695&show=true,Nicotine,0.973584,1.7984,1.7984,0,CCMSLIB00003188033,814.3940727,172,31504,1528,172,163.123,1,163.123,814.3940727,"InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""81695"",""main.cluster index_upperinput"":""81695""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=142&task=818684bc2ef44996a6257df861bb9695&show=true,Ile-Trp,0.972087,5.6569,5.6569,0,CCMSLIB00003213447,2412.769022,170,81695,142,170,318.1819,1,318.1819,2412.769022,"InChI=1S/C17H23N3O3/c1-3-10(2)15(18)16(21)20-14(17(22)23)8-11-9-19-13-7-5-4-6-12(11)13/h4-7,9-10,14-15,19H,3,8,18H2,1-2H3,(H,20,21)(H,22,23)/t10-,14-,15+/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""36848"",""main.cluster index_upperinput"":""36848""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=120&task=818684bc2ef44996a6257df861bb9695&show=true,Threonine,0.971635,7.6931,7.6931,0,CCMSLIB00000479741,4654.318084,172,36848,120,172,120.0658,1,120.0658,4654.318084,"InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m1/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""2703"",""main.cluster index_upperinput"":""2703""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=120&task=818684bc2ef44996a6257df861bb9695&show=true,Threonine,0.971055,7.5743,7.5743,0,CCMSLIB00000479741,5648.579823,172,2703,120,172,120.0658,1,120.0658,5648.579823,"InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m1/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""28984"",""main.cluster index_upperinput"":""28984""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=623&task=818684bc2ef44996a6257df861bb9695&show=true,D-Desthiobiotin,0.970865,5.0251,5.0251,0,CCMSLIB00003654177,34021.74004,172,28984,623,172,215.1392,1,215.1392,34021.74004,"InChI=1S/C10H18N2O3/c1-7-8(12-10(15)11-7)5-3-2-4-6-9(13)14/h7-8H,2-6H2,1H3,(H,13,14)(H2,11,12,15)/t7-,8+/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""961"",""main.cluster index_upperinput"":""961""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=388&task=818684bc2ef44996a6257df861bb9695&show=true,Spectral Match to Dioctyl phthalate from NIST14,0.970425,2.2932,2.2932,0,CCMSLIB00003136205,1414.586687,172,961,388,172,391.2849,1,391.2849,1414.586687,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""27198"",""main.cluster index_upperinput"":""27198""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1257&task=818684bc2ef44996a6257df861bb9695&show=true,N-3-Hydroxyoctanoyl-L-homoserine lactone,0.97023,0.9892,0.9892,0,CCMSLIB00003416977,12142.66623,172,27198,1257,172,244.1545,1,244.1545,12142.66623,"InChI=1S/C12H21NO4/c1-2-3-4-5-9(14)8-11(15)13-10-6-7-17-12(10)16/h9-10,14H,2-8H2,1H3,(H,13,15)/t9?,10-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""24479"",""main.cluster index_upperinput"":""24479""}",This Node is a Singleton,Thymidine,0.969817,1.9309,1.9309,0,CCMSLIB00003199593,1187.194934,172,24479,-1,172,243.0977,1,243.0977,1187.194934,"InChI=1S/C10H14N2O5/c1-5-3-12(10(16)11-9(5)15)8-2-6(14)7(4-13)17-8/h3,6-8,13-14H,2,4H2,1H3,(H,11,15,16)/t6-,7+,8+/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""94105"",""main.cluster index_upperinput"":""94105""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1257&task=818684bc2ef44996a6257df861bb9695&show=true,N-3-Hydroxyoctanoyl-L-homoserine lactone,0.969422,0.968,0.968,0,CCMSLIB00003416977,12359.16159,172,94105,1257,172,244.1545,1,244.1545,12359.16159,"InChI=1S/C12H21NO4/c1-2-3-4-5-9(14)8-11(15)13-10-6-7-17-12(10)16/h9-10,14H,2-8H2,1H3,(H,13,15)/t9?,10-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""15383"",""main.cluster index_upperinput"":""15383""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=142&task=818684bc2ef44996a6257df861bb9695&show=true,Spectral Match to Phe-Pro from NIST14,0.969178,6.4609,6.4609,0,CCMSLIB00003138008,2069.137119,172,15383,142,172,263.1392,1,263.1392,2069.137119,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""32403"",""main.cluster index_upperinput"":""32403""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=142&task=818684bc2ef44996a6257df861bb9695&show=true,Spectral Match to Phe-Pro from NIST14,0.969178,5.19,5.19,0,CCMSLIB00003138008,2880.857421,172,32403,142,172,263.1394,1,263.1394,2880.857421,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""88355"",""main.cluster index_upperinput"":""88355""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=142&task=818684bc2ef44996a6257df861bb9695&show=true,Spectral Match to Phe-Pro from NIST14,0.969178,5.1953,5.1953,0,CCMSLIB00003138008,3591.454573,172,88355,142,172,263.1394,1,263.1394,3591.454573,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""28385"",""main.cluster index_upperinput"":""28385""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=142&task=818684bc2ef44996a6257df861bb9695&show=true,Spectral Match to Phe-Pro from NIST14,0.969178,6.332,6.332,0,CCMSLIB00003138008,2130.998406,172,28385,142,172,263.1395,1,263.1395,2130.998406,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""9076"",""main.cluster index_upperinput"":""9076""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=142&task=818684bc2ef44996a6257df861bb9695&show=true,Ile-Trp,0.969132,5.8137,5.8137,0,CCMSLIB00003213447,2181.08811,170,9076,142,170,318.1819,1,318.1819,2181.08811,"InChI=1S/C17H23N3O3/c1-3-10(2)15(18)16(21)20-14(17(22)23)8-11-9-19-13-7-5-4-6-12(11)13/h4-7,9-10,14-15,19H,3,8,18H2,1-2H3,(H,20,21)(H,22,23)/t10-,14-,15+/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""31091"",""main.cluster index_upperinput"":""31091""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=78&task=818684bc2ef44996a6257df861bb9695&show=true,"1,2-Dioleoyl-sn-glycerol",0.969005,1.3359,1.3359,0,CCMSLIB00003710928,131.1186272,35,31091,78,35,603.5363,1,603.5363,131.1186272,"InChI=1S/C39H72O5/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-38(41)43-36-37(35-40)44-39(42)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h17-20,37,40H,3-16,21-36H2,1-2H3/b19-17-,20-18-/t37-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""82986"",""main.cluster index_upperinput"":""82986""}",This Node is a Singleton,5-Aminovaleric acid,0.968708,11.6992,11.6992,0,CCMSLIB00003472574,766009.5421,172,82986,-1,172,118.0866,1,118.0866,766009.5421,"InChI=1S/C5H11NO2/c6-4-2-1-3-5(7)8/h1-4,6H2,(H,7,8)"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""37795"",""main.cluster index_upperinput"":""37795""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=141&task=818684bc2ef44996a6257df861bb9695&show=true,Spectral Match to Leu-Val from NIST14,0.968651,5.5541,5.5541,0,CCMSLIB00003135133,18569.40596,172,37795,141,172,231.1705,1,231.1705,18569.40596,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""19084"",""main.cluster index_upperinput"":""19084""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=142&task=818684bc2ef44996a6257df861bb9695&show=true,Ile-Trp,0.968437,5.6177,5.6177,0,CCMSLIB00003213447,2122.833147,170,19084,142,170,318.1818,1,318.1818,2122.833147,"InChI=1S/C17H23N3O3/c1-3-10(2)15(18)16(21)20-14(17(22)23)8-11-9-19-13-7-5-4-6-12(11)13/h4-7,9-10,14-15,19H,3,8,18H2,1-2H3,(H,20,21)(H,22,23)/t10-,14-,15+/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""19717"",""main.cluster index_upperinput"":""19717""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=150&task=818684bc2ef44996a6257df861bb9695&show=true,"3,5-Lutidine",0.968247,1.0813,1.0813,0,CCMSLIB00003378548,23743.08411,172,19717,150,172,108.081,1,108.081,23743.08411,"InChI=1S/C7H9N/c1-6-3-7(2)5-8-4-6/h3-5H,1-2H3"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""18869"",""main.cluster index_upperinput"":""18869""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=150&task=818684bc2ef44996a6257df861bb9695&show=true,"3,5-Lutidine",0.968146,1.1169,1.1169,0,CCMSLIB00003378548,26963.83457,172,18869,150,172,108.0805,1,108.0805,26963.83457,"InChI=1S/C7H9N/c1-6-3-7(2)5-8-4-6/h3-5H,1-2H3"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""1638"",""main.cluster index_upperinput"":""1638""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=174&task=818684bc2ef44996a6257df861bb9695&show=true,N.epsilon.-Acetyl-L-lysine,0.96786,9.5824,9.5824,0,CCMSLIB00003290966,13014.80003,172,1638,174,172,189.1235,1,189.1235,13014.80003,"InChI=1S/C8H16N2O3/c1-6(11)10-5-3-2-4-7(9)8(12)13/h7H,2-5,9H2,1H3,(H,10,11)(H,12,13)/t7-/m1/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""18659"",""main.cluster index_upperinput"":""18659""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=117&task=818684bc2ef44996a6257df861bb9695&show=true,Pentaethylene glycol,0.967656,1.2348,1.2348,0,CCMSLIB00003440922,23168.38233,172,18659,117,172,239.1491,1,239.1491,23168.38233,"InChI=1S/C10H22O6/c11-1-3-13-5-7-15-9-10-16-8-6-14-4-2-12/h11-12H,1-10H2"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""17818"",""main.cluster index_upperinput"":""17818""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=141&task=818684bc2ef44996a6257df861bb9695&show=true,Tyr-Ala,0.96726,7.7018,7.7018,0,CCMSLIB00003729172,801.7186443,172,17818,141,172,253.1185,1,253.1185,801.7186443,"InChI=1S/C12H16N2O4/c1-7(12(17)18)14-11(16)10(13)6-8-2-4-9(15)5-3-8/h2-5,7,10,15H,6,13H2,1H3,(H,14,16)(H,17,18)/t7-,10-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""6568"",""main.cluster index_upperinput"":""6568""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=141&task=818684bc2ef44996a6257df861bb9695&show=true,Spectral Match to Leu-Val from NIST14,0.967004,5.6109,5.6109,0,CCMSLIB00003135133,16367.71228,172,6568,141,172,231.1705,1,231.1705,16367.71228,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""4133"",""main.cluster index_upperinput"":""4133""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=412&task=818684bc2ef44996a6257df861bb9695&show=true,Pantothenic acid,0.966642,7.2555,7.2555,0,CCMSLIB00003460404,8689.773382,172,4133,412,172,220.1181,1,220.1181,8689.773382,"InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""45560"",""main.cluster index_upperinput"":""45560""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=141&task=818684bc2ef44996a6257df861bb9695&show=true,Spectral Match to Leu-Val from NIST14,0.966377,5.7722,5.7722,0,CCMSLIB00003135133,13693.48976,172,45560,141,172,231.1705,1,231.1705,13693.48976,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""565"",""main.cluster index_upperinput"":""565""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=150&task=818684bc2ef44996a6257df861bb9695&show=true,"3,5-Lutidine",0.966081,0.953,0.953,0,CCMSLIB00003378548,27563.72986,172,565,150,172,108.0811,1,108.0811,27563.72986,"InChI=1S/C7H9N/c1-6-3-7(2)5-8-4-6/h3-5H,1-2H3"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""220"",""main.cluster index_upperinput"":""220""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1117&task=818684bc2ef44996a6257df861bb9695&show=true,N-Acetyl-L-glutamine,0.965824,8.4654,8.4654,0,CCMSLIB00003385734,44156.49312,172,220,1117,172,211.0691,1,211.0691,44156.49312,"InChI=1S/C7H12N2O4/c1-4(10)9-5(7(12)13)2-3-6(8)11/h5H,2-3H2,1H3,(H2,8,11)(H,9,10)(H,12,13)/t5-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""132"",""main.cluster index_upperinput"":""132""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=117&task=818684bc2ef44996a6257df861bb9695&show=true,Pentaethylene glycol,0.965272,1.2599,1.2599,0,CCMSLIB00003440922,23391.95339,172,132,117,172,239.1491,1,239.1491,23391.95339,"InChI=1S/C10H22O6/c11-1-3-13-5-7-15-9-10-16-8-6-14-4-2-12/h11-12H,1-10H2"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""9739"",""main.cluster index_upperinput"":""9739""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=623&task=818684bc2ef44996a6257df861bb9695&show=true,D-Desthiobiotin,0.965044,5.1676,5.1676,0,CCMSLIB00003654177,30117.36816,172,9739,623,172,215.1392,1,215.1392,30117.36816,"InChI=1S/C10H18N2O3/c1-7-8(12-10(15)11-7)5-3-2-4-6-9(13)14/h7-8H,2-6H2,1H3,(H,13,14)(H2,11,12,15)/t7-,8+/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""36566"",""main.cluster index_upperinput"":""36566""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=385&task=818684bc2ef44996a6257df861bb9695&show=true,Acetyl coenzyme A,0.96442,1.4102,1.4102,0,CCMSLIB00003393449,2620.767446,170,36566,385,170,303.1375,1,303.1375,2620.767446,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""1212"",""main.cluster index_upperinput"":""1212""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=117&task=818684bc2ef44996a6257df861bb9695&show=true,Pentaethylene glycol,0.963753,0.9525,0.9525,0,CCMSLIB00003440922,19651.89057,172,1212,117,172,239.149,1,239.149,19651.89057,"InChI=1S/C10H22O6/c11-1-3-13-5-7-15-9-10-16-8-6-14-4-2-12/h11-12H,1-10H2"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""17949"",""main.cluster index_upperinput"":""17949""}",This Node is a Singleton,Ile-Tyr,0.963609,6.3597,6.3597,0,CCMSLIB00003220663,1417.966822,172,17949,-1,172,295.1658,1,295.1658,1417.966822,"InChI=1S/C15H22N2O4/c1-3-9(2)13(16)14(19)17-12(15(20)21)8-10-4-6-11(18)7-5-10/h4-7,9,12-13,18H,3,8,16H2,1-2H3,(H,17,19)(H,20,21)/t9-,12-,13+/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""513"",""main.cluster index_upperinput"":""513""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=639&task=818684bc2ef44996a6257df861bb9695&show=true,Spectral Match to Tributyl phosphate from NIST14,0.963488,0.8946,0.8946,0,CCMSLIB00003135707,15716.08544,172,513,639,172,267.1721,1,267.1721,15716.08544,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""161"",""main.cluster index_upperinput"":""161""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=307&task=818684bc2ef44996a6257df861bb9695&show=true,Carveol,0.962973,0.8789,0.8789,0,CCMSLIB00005435948,39232.10995,172,161,307,172,135.0805,1,135.0805,39232.10995, 
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""2198"",""main.cluster index_upperinput"":""2198""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=623&task=818684bc2ef44996a6257df861bb9695&show=true,D-Desthiobiotin,0.962851,4.3602,4.3602,0,CCMSLIB00003654177,36462.51462,172,2198,623,172,215.1392,1,215.1392,36462.51462,"InChI=1S/C10H18N2O3/c1-7-8(12-10(15)11-7)5-3-2-4-6-9(13)14/h7-8H,2-6H2,1H3,(H,13,14)(H2,11,12,15)/t7-,8+/m0/s1"
