GNPSLinkout_Cluster,LibraryID,MQScore,RTConsensus,RTMean,RTStdErr,SpectrumID,SumPeakIntensity,UniqueFileSourcesCount,cluster index,componentindex,number of spectra,parent mass,precursor charge,precursor mass,sum(precursor intensity),INCHI
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""1038"",""main.cluster index_upperinput"":""1038""}",Methyl hexadec-9-enoate,0.9683,7.3408,7.3408,0,CCMSLIB00003471251,5133.243694,147,1038,188,147,269.247,1,269.247,5133.243694,"InChI=1S/C17H32O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19-2/h8-9H,3-7,10-16H2,1-2H3/b9-8-"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""29919"",""main.cluster index_upperinput"":""29919""}","1,2-Dioleoyl-sn-glycerol",0.968268,6.1759,6.1759,0,CCMSLIB00003710945,528.6597323,62,29919,188,62,339.2884,1,339.2884,528.6597323,"InChI=1S/C39H72O5/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-38(41)43-36-37(35-40)44-39(42)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h17-20,37,40H,3-16,21-36H2,1-2H3/b19-17-,20-18-/t37-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""13788"",""main.cluster index_upperinput"":""13788""}",D-Desthiobiotin,0.967356,3.0391,3.0391,0,CCMSLIB00003654192,15413.38178,146,13788,68,146,197.1282,1,197.1282,15413.38178,"InChI=1S/C10H18N2O3/c1-7-8(12-10(15)11-7)5-3-2-4-6-9(13)14/h7-8H,2-6H2,1H3,(H,13,14)(H2,11,12,15)/t7-,8+/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""1288"",""main.cluster index_upperinput"":""1288""}",Palmitoleic acid ethyl ester,0.966001,7.5418,7.5418,0,CCMSLIB00003354430,7293.921677,147,1288,188,147,237.2208,1,237.2208,7293.921677,"InChI=1S/C18H34O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20-4-2/h9-10H,3-8,11-17H2,1-2H3/b10-9-"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""1576"",""main.cluster index_upperinput"":""1576""}",Yersiniabactin,0.965888,5.1973,5.1973,0,CCMSLIB00005435756,1273502.475,147,1576,49,147,482.1233,1,482.1233,1273502.475, 
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""5228"",""main.cluster index_upperinput"":""5228""}",Spectral Match to Undecaethylene glycol from NIST14,0.965662,7.2886,7.2886,0,CCMSLIB00003136774,1635.720757,123,5228,30,123,503.3044,1,503.3044,1635.720757,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""1524"",""main.cluster index_upperinput"":""1524""}",cis-12-Octadecenoic acid methyl ester,0.964803,7.8957,7.8957,0,CCMSLIB00003710001,3181.473069,147,1524,188,147,297.2783,1,297.2783,3181.473069,"InChI=1S/C19H36O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21-2/h7-8H,3-6,9-18H2,1-2H3/b8-7-"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""14958"",""main.cluster index_upperinput"":""14958""}",Tyr-Tyr,0.964605,2.2347,2.2347,0,CCMSLIB00003728652,1195.7465,141,14958,96,141,345.1437,1,345.1437,1195.7465,"InChI=1S/C18H20N2O5/c19-15(9-11-1-5-13(21)6-2-11)17(23)20-16(18(24)25)10-12-3-7-14(22)8-4-12/h1-8,15-16,21-22H,9-10,19H2,(H,20,23)(H,24,25)/t15-,16-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""24968"",""main.cluster index_upperinput"":""24968""}",Spectral Match to Monopalmitolein (9c) from NIST14,0.964214,5.6437,5.6437,0,CCMSLIB00003137323,2815.844537,147,24968,188,147,311.2571,1,311.2571,2815.844537,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""30541"",""main.cluster index_upperinput"":""30541""}",Palmitoleic acid ethyl ester,0.963867,8.5038,8.5038,0,CCMSLIB00003354430,2419.412067,147,30541,188,147,237.2207,1,237.2207,2419.412067,"InChI=1S/C18H34O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20-4-2/h9-10H,3-8,11-17H2,1-2H3/b10-9-"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""1210"",""main.cluster index_upperinput"":""1210""}",N-Phenyl-1-naphthylamine,0.96334,6.3306,6.3306,0,CCMSLIB00003366978,507578.6592,147,1210,435,147,220.1118,1,220.1118,507578.6592,"InChI=1S/C16H13N/c1-2-9-14(10-3-1)17-16-12-6-8-13-7-4-5-11-15(13)16/h1-12,17H"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""486"",""main.cluster index_upperinput"":""486""}","1,4a-dimethyl-9-oxo-7-propan-2-yl-3,4,10,10a-tetrahydro-2H-phenanthrene-1-carboxylic acid",0.963163,6.0423,6.0423,0,CCMSLIB00004699026,8779.498046,147,486,881,147,315.1949,1,315.1949,8779.498046,"InChI=1S/C20H26O3/c1-12(2)13-6-7-15-14(10-13)16(21)11-17-19(15,3)8-5-9-20(17,4)18(22)23/h6-7,10,12,17H,5,8-9,11H2,1-4H3,(H,22,23)"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""10133"",""main.cluster index_upperinput"":""10133""}",Spectral Match to Nonaethylene glycol from NIST14,0.962611,7.1543,7.1543,0,CCMSLIB00003138197,711.5488778,87,10133,30,87,415.2531,1,415.2531,711.5488778,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""745"",""main.cluster index_upperinput"":""745""}",Decamethylcyclopentasiloxane,0.962503,7.8259,7.8259,0,CCMSLIB00003271045,45380.34298,147,745,1131,147,371.1006,1,371.1006,45380.34298,"InChI=1S/C10H30O5Si5/c1-16(2)11-17(3,4)13-19(7,8)15-20(9,10)14-18(5,6)12-16/h1-10H3"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""14533"",""main.cluster index_upperinput"":""14533""}",Spectral Match to L-Tryptophan from NIST14,0.96235,2.2296,2.2296,0,CCMSLIB00003139480,2565.477305,147,14533,135,147,188.0702,1,188.0702,2565.477305,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""79485"",""main.cluster index_upperinput"":""79485""}",Spectral Match to L-Tryptophan from NIST14,0.96235,2.2687,2.2687,0,CCMSLIB00003139480,2634.309065,147,79485,135,147,188.0702,1,188.0702,2634.309065,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""930"",""main.cluster index_upperinput"":""930""}",Decamethylcyclopentasiloxane,0.961368,8.2226,8.2226,0,CCMSLIB00003271045,22395.02055,147,930,1131,147,371.1006,1,371.1006,22395.02055,"InChI=1S/C10H30O5Si5/c1-16(2)11-17(3,4)13-19(7,8)15-20(9,10)14-18(5,6)12-16/h1-10H3"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""14055"",""main.cluster index_upperinput"":""14055""}",Biliverdin,0.960959,5.1176,5.1176,0,CCMSLIB00003335648,6276.732694,132,14055,831,132,583.254,1,583.254,6276.732694,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""9422"",""main.cluster index_upperinput"":""9422""}",Spectral Match to Nonaethylene glycol from NIST14,0.959049,7.6559,7.6559,0,CCMSLIB00003138197,2721.562599,134,9422,30,134,415.2526,1,415.2526,2721.562599,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""19256"",""main.cluster index_upperinput"":""19256""}",Decamethylcyclopentasiloxane,0.958735,8.5754,8.5754,0,CCMSLIB00003271045,10745.83699,147,19256,1131,147,371.1004,1,371.1004,10745.83699,"InChI=1S/C10H30O5Si5/c1-16(2)11-17(3,4)13-19(7,8)15-20(9,10)14-18(5,6)12-16/h1-10H3"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""1786"",""main.cluster index_upperinput"":""1786""}",Pro-Trp,0.958637,2.6585,2.6585,0,CCMSLIB00003213863,14025.57945,145,1786,536,145,302.1495,1,302.1495,14025.57945,"InChI=1S/C16H19N3O3/c20-15(13-6-3-7-17-13)19-14(16(21)22)8-10-9-18-12-5-2-1-4-11(10)12/h1-2,4-5,9,13-14,17-18H,3,6-8H2,(H,19,20)(H,21,22)/t13-,14+/m1/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""1456"",""main.cluster index_upperinput"":""1456""}",Decamethylcyclopentasiloxane,0.958579,6.6732,6.6732,0,CCMSLIB00003271045,15239.84502,147,1456,1131,147,371.1007,1,371.1007,15239.84502,"InChI=1S/C10H30O5Si5/c1-16(2)11-17(3,4)13-19(7,8)15-20(9,10)14-18(5,6)12-16/h1-10H3"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""24832"",""main.cluster index_upperinput"":""24832""}",.alpha.-Hexylcinnamaldehyde,0.9582,6.932,6.932,0,CCMSLIB00003569170,885.0768889,147,24832,-1,147,217.1584,1,217.1584,885.0768889,"InChI=1S/C15H20O/c1-2-3-4-6-11-15(13-16)12-14-9-7-5-8-10-14/h5,7-10,12-13H,2-4,6,11H2,1H3/b15-12-"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""14006"",""main.cluster index_upperinput"":""14006""}",Spectral Match to Phe-Trp from NIST14,0.958036,3.1454,3.1454,0,CCMSLIB00003139311,6689.899165,145,14006,536,145,352.165,1,352.165,6689.899165,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""15688"",""main.cluster index_upperinput"":""15688""}",Biliverdin,0.957691,5.231,5.231,0,CCMSLIB00003335648,3443.866007,127,15688,831,127,583.2539,1,583.2539,3443.866007,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""50961"",""main.cluster index_upperinput"":""50961""}",Undecanedioic acid,0.956457,7.4841,7.4841,0,CCMSLIB00003465465,689.0790539,147,50961,188,147,153.1271,1,153.1271,689.0790539,"InChI=1S/C11H20O4/c12-10(13)8-6-4-2-1-3-5-7-9-11(14)15/h1-9H2,(H,12,13)(H,14,15)"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""21942"",""main.cluster index_upperinput"":""21942""}",Hematoporphyrin,0.956237,6.1679,6.1679,0,CCMSLIB00003454084,1901.74711,134,21942,21,134,581.2744,1,581.2744,1901.74711,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""354"",""main.cluster index_upperinput"":""354""}",hyocholic acid,0.956079,4.8451,4.8451,0,CCMSLIB00005435541,41233.38596,147,354,74,147,158.1538,1,158.1538,41233.38596,"1S/C24H40O5/c1-13(4-7-19(26)27)15-5-6-16-20-17(9-11-23(15,16)2)24(3)10-8-14(25)12-18(24)21(28)22(20)29/h13-18,20-22,25,28-29H,4-12H2,1-3H3,(H,26,27)/t13?,14-,15-,16+,17+,18+,20+,21-,22+,23?,24?/m1/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""573"",""main.cluster index_upperinput"":""573""}","Di(2,6-dimethyl-4-heptyl) phthalate",0.955831,8.4107,8.4107,0,CCMSLIB00003719106,9719.826201,147,573,36,147,149.023,1,149.023,9719.826201,"InChI=1S/C26H42O4/c1-17(2)13-21(14-18(3)4)29-25(27)23-11-9-10-12-24(23)26(28)30-22(15-19(5)6)16-20(7)8/h9-12,17-22H,13-16H2,1-8H3"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""98"",""main.cluster index_upperinput"":""98""}","Di(2,6-dimethyl-4-heptyl) phthalate",0.955687,6.6644,6.6644,0,CCMSLIB00003719106,56598.03299,147,98,36,147,149.0232,1,149.0232,56598.03299,"InChI=1S/C26H42O4/c1-17(2)13-21(14-18(3)4)29-25(27)23-11-9-10-12-24(23)26(28)30-22(15-19(5)6)16-20(7)8/h9-12,17-22H,13-16H2,1-8H3"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""24448"",""main.cluster index_upperinput"":""24448""}",Pro-Trp,0.955047,2.6004,2.6004,0,CCMSLIB00003213863,15068.29184,145,24448,536,145,302.1494,1,302.1494,15068.29184,"InChI=1S/C16H19N3O3/c20-15(13-6-3-7-17-13)19-14(16(21)22)8-10-9-18-12-5-2-1-4-11(10)12/h1-2,4-5,9,13-14,17-18H,3,6-8H2,(H,19,20)(H,21,22)/t13-,14+/m1/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""174"",""main.cluster index_upperinput"":""174""}",Spectral Match to Phthalic anhydride from NIST14,0.954963,5.1262,5.1262,0,CCMSLIB00003138998,31512.42454,147,174,36,147,149.0231,1,149.0231,31512.42454,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""151"",""main.cluster index_upperinput"":""151""}",S-Bioallethrin,0.952837,5.4612,5.4612,0,CCMSLIB00003640338,50736.70475,147,151,-1,147,135.0802,1,135.0802,50736.70475,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""1168"",""main.cluster index_upperinput"":""1168""}",Tri-2-ethylhexyl trimellitate,0.951403,9.6493,9.6493,0,CCMSLIB00003310230,3351.650565,147,1168,-1,147,547.3985,1,547.3985,3351.650565,"InChI=1S/C33H54O6/c1-7-13-16-25(10-4)22-37-31(34)28-19-20-29(32(35)38-23-26(11-5)17-14-8-2)30(21-28)33(36)39-24-27(12-6)18-15-9-3/h19-21,25-27H,7-18,22-24H2,1-6H3"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""30793"",""main.cluster index_upperinput"":""30793""}",Sclareolide,0.951044,8.5062,8.5062,0,CCMSLIB00003566545,1309.573973,147,30793,188,147,191.179,1,191.179,1309.573973,"InChI=1S/C16H26O2/c1-14(2)7-5-8-15(3)11(14)6-9-16(4)12(15)10-13(17)18-16/h11-12H,5-10H2,1-4H3/t11-,12+,15-,16+/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""1251"",""main.cluster index_upperinput"":""1251""}",Spectral Match to (R)-(+)-Citronellic acid from NIST14,0.950797,4.9167,4.9167,0,CCMSLIB00003139419,6990.105871,147,1251,188,147,153.1272,1,153.1272,6990.105871,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""54850"",""main.cluster index_upperinput"":""54850""}",Hematoporphyrin,0.950112,6.1422,6.1422,0,CCMSLIB00003454084,1796.494258,134,54850,21,134,581.2744,1,581.2744,1796.494258,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""3744"",""main.cluster index_upperinput"":""3744""}","3-Furancarboxylic acid, tetrahydro-4-methylene-5-oxo-2-propyl-, (2R,3S)-rel-",0.949458,5.3843,5.3843,0,CCMSLIB00003579970,1474.666763,147,3744,-1,147,139.0752,1,139.0752,1474.666763,"InChI=1S/C9H12O4/c1-3-4-6-7(8(10)11)5(2)9(12)13-6/h6-7H,2-4H2,1H3,(H,10,11)/t6-,7+/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""104"",""main.cluster index_upperinput"":""104""}","3-Furancarboxylic acid, tetrahydro-4-methylene-5-oxo-2-propyl-, (2R,3S)-rel-",0.949399,5.5703,5.5703,0,CCMSLIB00003579950,56477.38577,147,104,1874,147,149.0594,1,149.0594,56477.38577,"InChI=1S/C9H12O4/c1-3-4-6-7(8(10)11)5(2)9(12)13-6/h6-7H,2-4H2,1H3,(H,10,11)/t6-,7+/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""2790"",""main.cluster index_upperinput"":""2790""}",Tetraethylene glycol,0.949323,7.6608,7.6608,0,CCMSLIB00003441001,1911.702424,147,2790,30,147,195.1213,1,195.1213,1911.702424,"InChI=1S/C8H18O5/c9-1-3-11-5-7-13-8-6-12-4-2-10/h9-10H,1-8H2"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""3099"",""main.cluster index_upperinput"":""3099""}",Palmitoyl ethanolamide,0.947458,7.1024,7.1024,0,CCMSLIB00003483756,1485.518421,147,3099,87,147,300.2891,1,300.2891,1485.518421,"InChI=1S/C18H37NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-18(21)19-16-17-20/h20H,2-17H2,1H3,(H,19,21)"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""101"",""main.cluster index_upperinput"":""101""}","Spectral Match to 13-Docosenamide, (Z)- from NIST14",0.947294,8.4086,8.4086,0,CCMSLIB00003139957,29435.70032,145,101,-1,145,675.6747,1,675.6747,29435.70032,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""243"",""main.cluster index_upperinput"":""243""}",Spectral Match to Tributyl phosphate from NIST14,0.946701,6.1996,6.1996,0,CCMSLIB00003137353,38442.53795,147,243,766,147,267.1715,1,267.1715,38442.53795,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""3562"",""main.cluster index_upperinput"":""3562""}",Spectral Match to Hexaethylene glycol from NIST14,0.945177,7.6983,7.6983,0,CCMSLIB00003134614,2115.66015,147,3562,1152,147,283.174,1,283.174,2115.66015,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""47966"",""main.cluster index_upperinput"":""47966""}",Myristoleic acid,0.943533,6.3434,6.3434,0,CCMSLIB00003478793,1577.735755,147,47966,188,147,209.1897,1,209.1897,1577.735755,"InChI=1S/C14H26O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h5-6H,2-4,7-13H2,1H3,(H,15,16)/b6-5-"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""1062"",""main.cluster index_upperinput"":""1062""}",Spectral Match to Tris(2-butoxyethyl) phosphate from NIST14,0.943409,6.5534,6.5534,0,CCMSLIB00003134572,6987.238668,147,1062,-1,147,421.2328,1,421.2328,6987.238668,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""3641"",""main.cluster index_upperinput"":""3641""}",Spectral Match to N-Acetyl-L-tyrosine from NIST14,0.941577,2.3332,2.3332,0,CCMSLIB00003139111,1582.323699,146,3641,387,146,224.091,1,224.091,1582.323699,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""11973"",""main.cluster index_upperinput"":""11973""}",Protoporphyrin IX,0.941419,7.3421,7.3421,0,CCMSLIB00003185460,2994.349006,146,11973,-1,146,563.2643,1,563.2643,2994.349006,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""770"",""main.cluster index_upperinput"":""770""}","2,6-Dihydroxybenzoic acid",0.94027,3.0312,3.0312,0,CCMSLIB00003462208,15548.26396,147,770,431,147,137.0233,1,137.0233,15548.26396,"InChI=1S/C7H6O4/c8-4-2-1-3-5(9)6(4)7(10)11/h1-3,8-9H,(H,10,11)"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""21397"",""main.cluster index_upperinput"":""21397""}",Stearoyl ethanolamide,0.939658,7.7091,7.7091,0,CCMSLIB00003483715,1017.041002,147,21397,87,147,328.3203,1,328.3203,1017.041002,"InChI=1S/C20H41NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20(23)21-18-19-22/h22H,2-19H2,1H3,(H,21,23)"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""1004"",""main.cluster index_upperinput"":""1004""}",N-Hexanoyl-DL-homoserine lactone,0.938987,3.5422,3.5422,0,CCMSLIB00003460607,3353.229489,147,1004,1089,147,182.1174,1,182.1174,3353.229489,"InChI=1S/C10H17NO3/c1-2-3-4-5-9(12)11-8-6-7-14-10(8)13/h8H,2-7H2,1H3,(H,11,12)"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""1991"",""main.cluster index_upperinput"":""1991""}",N-Hexanoyl-DL-homoserine lactone,0.938854,3.0519,3.0519,0,CCMSLIB00003460589,4685.053974,146,1991,164,146,200.1279,1,200.1279,4685.053974,"InChI=1S/C10H17NO3/c1-2-3-4-5-9(12)11-8-6-7-14-10(8)13/h8H,2-7H2,1H3,(H,11,12)"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""19327"",""main.cluster index_upperinput"":""19327""}",Isopimaric acid,0.937112,7.4137,7.4137,0,CCMSLIB00003289287,11897.26582,147,19327,1599,147,303.2309,1,303.2309,11897.26582,"InChI=1S/C20H30O2/c1-5-18(2)12-9-15-14(13-18)7-8-16-19(15,3)10-6-11-20(16,4)17(21)22/h5,7,15-16H,1,6,8-13H2,2-4H3,(H,21,22)/t15?,16?,18-,19+,20+/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""172"",""main.cluster index_upperinput"":""172""}",D-Psicose,0.936783,0.3354,0.3354,0,CCMSLIB00003195611,20806.84039,147,172,383,147,163.0596,1,163.0596,20806.84039,"InChI=1S/C6H12O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3,5-9,11-12H,1-2H2/t3-,5-,6+/m1/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""2174"",""main.cluster index_upperinput"":""2174""}","Spectral Match to 3,5-Dimethyladamantan-1-amine from NIST14",0.934489,7.8041,7.8041,0,CCMSLIB00003135951,2471.874906,147,2174,188,147,163.1478,1,163.1478,2471.874906,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a0b276be09fc49fea6e80e2092315884&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""991"",""main.cluster index_upperinput"":""991""}",Triphenyl phosphate,0.933798,8.8158,8.8158,0,CCMSLIB00003577341,2515.47521,133,991,937,133,327.0775,1,327.0775,2515.47521,"InChI=1S/C18H15O4P/c19-23(20-16-10-4-1-5-11-16,21-17-12-6-2-7-13-17)22-18-14-8-3-9-15-18/h1-15H"
